year,BCCA_0-125deg_tasmin_day_ACCESS1-0_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_ACCESS1-0_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_BNU-ESM_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_BNU-ESM_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_CCSM4_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_CCSM4_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_CCSM4_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_CCSM4_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_CESM1-BGC_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_CESM1-BGC_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_CNRM-CM5_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_CNRM-CM5_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_CSIRO-Mk3-6-0_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_CSIRO-Mk3-6-0_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_CSIRO-Mk3-6-0_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_CanESM2_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_CanESM2_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_CanESM2_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-CM3_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-CM3_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-CM3_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-ESM2G_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-ESM2G_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-ESM2G_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-ESM2G_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-ESM2M_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-ESM2M_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-ESM2M_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-ESM2M_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_IPSL-CM5A-LR_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_IPSL-CM5A-LR_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_IPSL-CM5A-LR_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_IPSL-CM5A-LR_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_IPSL-CM5A-MR_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_IPSL-CM5A-MR_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_IPSL-CM5A-MR_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_IPSL-CM5A-MR_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC-ESM-CHEM_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC-ESM-CHEM_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC-ESM-CHEM_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC-ESM-CHEM_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC-ESM_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC-ESM_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC-ESM_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC-ESM_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC5_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC5_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC5_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC5_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_MPI-ESM-LR_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_MPI-ESM-LR_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_MPI-ESM-LR_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_MPI-ESM-MR_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_MPI-ESM-MR_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_MPI-ESM-MR_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_MRI-CGCM3_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_MRI-CGCM3_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_MRI-CGCM3_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_MRI-CGCM3_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_NorESM1-M_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_NorESM1-M_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_NorESM1-M_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_NorESM1-M_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_bcc-csm1-1_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_bcc-csm1-1_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_bcc-csm1-1_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_bcc-csm1-1_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_inmcm4_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_inmcm4_rcp85_r1i1p1
2016,6.900378,6.193431,7.353538,6.176097,6.977301,7.5889015,6.8525043,7.6197944,5.9125957,6.4548297,7.0090585,5.293785,5.7724304,5.8943954,6.368642,6.7354207,6.3524623,7.8888645,5.4878545,6.552431,5.7428055,6.29862,7.164105,6.364894,6.634792,6.9957585,5.3185263,6.00658,6.655931,7.0197415,7.4427633,6.7233424,7.684811,7.6761475,7.408702,6.9724936,5.86063,6.9128513,6.1011457,5.988901,6.969019,6.010151,6.9255977,6.014274,6.1177144,6.8831496,6.541086,5.5544567,6.4981136,6.8795614,6.6683035,6.8762937,6.292884,6.625647,7.0141296,6.2757945,5.667243,6.7190485,5.2871466,6.4687862,6.50577,7.3867044,6.4336514,6.3702645,6.6980753,5.7647476,6.859173,6.6740923,5.503526
2017,6.405345,6.712653,7.6334443,6.126858,7.2735834,6.6640797,6.363085,6.2841506,6.5521545,6.602906,6.5522876,6.055228,6.7788887,6.7740254,6.375457,7.323209,6.858376,6.7987256,7.1680665,6.3099847,7.849694,6.70966,6.846277,7.314562,6.79383,6.236331,5.850852,6.1610923,7.197179,7.2960024,6.996791,6.551429,6.3529377,6.1931024,6.7567253,7.4571605,6.6715374,7.7415605,6.247296,6.432898,5.418865,7.046233,6.2748227,5.910823,6.7045813,7.5454564,6.048576,6.045371,5.7891455,5.6742716,7.1474195,7.795641,6.6613083,7.139282,5.759538,6.398474,6.139478,5.124547,5.365108,7.3753376,5.896057,6.317107,8.324013,6.2084956,7.049763,5.408747,6.5603437,6.4528933,5.506862
2018,6.042959,6.573801,6.780358,7.962118,7.174024,6.6530724,6.436784,6.540459,6.9631877,6.702115,5.9462385,7.118494,6.0529423,6.472382,6.295946,6.815225,6.9260807,7.188481,6.7415376,6.890399,7.729375,6.9092484,6.992935,6.255483,7.223564,5.7706814,6.5784254,6.010659,5.789108,7.6129923,7.134517,6.843047,7.0117,5.9040813,6.809674,6.750779,6.088624,6.890804,6.167408,6.08084,6.241398,6.6832924,7.127915,7.2366657,5.708219,7.0028706,6.350852,6.3137383,6.8488975,7.8085117,6.5555053,7.1140003,7.081547,6.4035296,6.073361,5.6487055,6.2027903,5.7738056,5.505149,7.598493,7.2031326,6.7592,6.8052945,5.883851,5.741959,7.1917663,6.4872904,6.338267,7.261149
2019,6.829313,6.176325,6.0588684,7.26481,6.600176,6.4462566,5.870231,6.612131,6.832052,5.922402,5.6591225,6.60396,6.6761117,5.987862,6.666909,7.4505134,7.169367,7.028284,7.6771836,6.8916583,7.9035606,6.448892,6.4233537,6.4192047,6.180748,6.8510447,6.362165,5.626647,6.523944,6.169989,6.269894,6.124964,6.9926744,6.614322,5.9304624,7.4129186,6.329189,6.1928315,6.934723,6.207551,7.4927144,7.319732,6.7694855,6.5059357,7.0099716,6.140275,6.722853,5.914265,7.143674,7.3551445,6.9659867,7.8827233,7.374408,6.1391087,7.155622,5.836801,5.904239,6.1726303,6.208347,6.655474,6.3867154,5.9962816,6.8090096,7.000007,6.199731,6.214644,6.4899044,6.579805,6.858255
2020,6.423354,6.624362,7.417024,5.60659,7.690096,7.4333043,7.075121,8.07232,7.4558473,6.979839,5.952558,7.154043,6.578674,6.273604,7.035257,7.376237,6.5159955,7.343964,7.0888224,6.829136,7.0076423,7.189597,6.996686,5.6182423,5.6131916,7.031373,6.1760445,6.8289027,6.2743983,7.0812025,6.8755054,6.49249,5.7943,7.1128407,7.6911893,7.6299596,6.29216,7.2247086,6.6002364,6.609077,6.668934,6.4984455,7.148524,6.087995,6.866676,6.352899,6.7458887,7.278525,5.7831826,6.074943,6.671438,7.214567,6.1151743,6.3930635,7.506482,6.07613,6.03295,6.413622,6.4009614,6.891199,6.6330733,5.499655,6.641953,6.8364453,6.6144624,5.0676837,7.0857835,5.204537,4.9964623
2021,6.6912055,4.7514052,8.4309845,7.078232,6.6323957,7.5849557,6.5865703,6.935093,6.6890035,6.473669,6.7041106,6.7167044,6.8941875,6.369611,6.4201326,7.7515182,7.290452,6.264768,7.965034,7.022589,6.337237,6.7023673,6.30496,6.069387,7.3486614,7.282153,6.762136,6.3090863,5.6898384,6.924558,6.9566402,6.965621,6.67488,7.401095,6.459336,6.0908723,7.74932,7.2260017,6.4816313,6.6238728,6.8494577,5.6923084,6.5397806,6.750383,7.17489,6.791021,6.6329374,6.5408,6.759801,7.147381,6.353484,6.154574,6.268164,7.2419353,8.012676,6.558365,6.166382,5.1288843,6.605791,5.243434,6.402333,6.826128,6.8290234,6.91921,6.810741,6.5404277,7.588019,6.3934083,6.5113554
2022,6.7851753,7.53592,7.1130204,7.0145097,6.0985246,6.4573174,6.7704873,6.041846,6.8134103,6.8650866,6.513127,5.470975,5.74125,6.4998035,6.3020697,7.4315286,6.0552945,7.7920766,7.1352563,7.0310307,7.565514,6.45853,6.414101,5.6958814,6.4276433,7.400394,5.511497,6.214949,6.202509,5.486989,7.8124957,7.2592826,6.436727,6.7719584,7.0806956,7.5247617,6.676904,7.0697665,6.9425607,6.7931786,7.8914375,6.6515627,7.0651603,6.6677957,7.0166707,7.3271637,6.3490057,5.8993855,6.663465,6.541835,6.7226315,6.4071727,6.593551,6.8967724,6.578617,5.383754,5.89055,6.040503,6.03119,7.2393126,6.74226,7.089025,6.413122,6.7118616,6.915501,6.871283,7.3193765,5.8039713,5.8130856
2023,6.6377325,7.244994,7.1488996,5.8722095,6.422663,7.0077934,7.1364427,5.599688,5.370931,7.4814343,6.619731,7.012395,7.580422,6.7697697,6.715386,6.951017,7.0029073,7.7857456,7.1474915,8.078721,6.095813,6.581815,6.398001,6.093581,6.6955724,6.104923,6.9828095,6.74324,6.335559,7.280865,7.440226,6.1154995,6.703743,7.7241993,6.7721252,6.431202,6.6807017,6.889917,6.5954347,7.163353,7.0530715,7.0543847,6.29879,6.0980334,6.7553253,7.37521,6.3601775,7.2739916,6.485947,7.042137,7.6079125,7.3264713,6.007919,5.6538124,6.918618,5.7147017,6.3700223,5.040674,6.2723923,6.9264336,6.1529136,5.876453,7.323767,7.816085,6.772063,6.5082345,7.1897635,6.001023,8.361793
2024,7.1799726,6.2649097,6.2125883,7.1304784,7.464741,6.3501215,6.5648975,7.4659686,6.9540014,6.584885,6.271991,6.1769805,7.056039,7.318912,6.0691867,7.007301,6.580183,7.209169,6.3909087,6.756899,6.968185,6.347923,7.354186,5.9134626,6.3497987,6.482508,7.113427,6.6398234,7.2362604,7.994559,7.0137367,6.856202,7.434775,6.7066073,6.935538,7.2379346,6.5352526,6.864226,7.4447603,6.8793073,7.7252045,7.5259395,7.760218,5.987155,7.4744673,7.1466236,6.8200774,6.3154807,7.026442,7.5543227,6.9270263,6.8915453,6.582029,6.364714,7.0852466,6.6900573,6.1782155,5.728404,6.7045493,8.145984,5.9481664,6.7696643,7.1959424,7.042866,6.330317,5.965255,6.802776,6.2282743,6.481242
2025,7.691986,7.08471,7.868746,7.7102327,6.967122,6.554671,7.225052,7.6985965,5.663903,7.247244,6.984358,7.049037,6.7356577,6.0521445,6.922392,7.0726666,6.7677326,6.9918566,7.3522425,7.745952,7.7771935,6.1467776,7.727138,6.5522423,7.8224454,6.068023,6.424248,7.3965864,6.858595,7.0032845,6.180057,7.207965,5.9654145,5.5268846,6.556742,6.722035,7.235038,7.554262,6.7174444,6.9746876,7.950321,6.768531,7.592969,7.573546,7.2067404,7.049904,7.1297984,6.501793,5.7145004,7.3277416,7.0581846,7.1239886,6.7454724,8.22722,7.763185,6.255417,6.7851872,6.739903,6.9331646,6.4367614,7.422676,6.416098,7.1685424,6.9584813,6.7330437,5.327163,7.526636,6.255628,6.073626
2026,7.4169097,7.3984485,8.265793,6.823771,6.5701523,5.8684163,6.630194,6.80055,7.192859,6.8967586,6.903413,7.2715755,6.7116976,7.281528,6.331665,7.2693133,7.1294007,7.1349583,6.8805885,7.406169,7.2281003,6.116766,7.187243,6.247296,6.867572,6.531185,6.690179,6.62298,6.6138783,7.0830927,7.3249087,6.832624,6.801158,7.4663634,7.311955,7.2422113,7.18591,6.5868983,7.13272,6.4504905,7.1531634,7.9756713,7.379858,6.5196333,6.9810762,7.2423425,7.254066,7.0287795,7.51561,6.274542,6.382155,7.750803,7.3992553,7.008421,7.5470996,6.7145786,6.6016183,5.729695,6.4311576,7.0760674,7.1499596,7.212413,6.6761723,6.416565,7.139178,6.444518,7.2415805,6.411789,5.41114
2027,7.7248855,7.3388453,7.2243276,7.607369,7.7168074,7.271526,7.365777,7.1549788,7.204787,5.7410154,6.44485,6.1550846,6.6995344,5.6187277,6.3022985,7.035441,7.7042093,6.90231,6.5540366,7.36453,7.526059,6.16342,6.5932326,7.1065407,6.4185314,8.03196,6.5971375,6.1283107,6.513488,7.2326665,7.4822383,7.153962,6.9804053,7.326944,6.4988317,6.2332053,7.547061,7.836728,6.7689567,7.2548933,8.153117,6.969642,7.4901533,7.212911,7.4395695,6.6813817,7.3741617,6.757832,5.767407,7.298765,6.2829037,6.658062,7.3525357,7.4314175,7.020291,5.821874,6.5379868,5.9589396,6.5663257,5.46794,6.509152,6.3618836,6.7770047,7.069435,8.748794,6.6643524,6.9342637,6.2603607,6.674183
